feature,importance_kind,importance,importance_abs
cover_mm,feature_importance,0.4865921625126318,0.4865921625126318
treatment_label_coarse,feature_importance,0.09381229037033222,0.09381229037033222
series_id,feature_importance,0.08374883527132657,0.08374883527132657
img_glcm_homogeneity,feature_importance,0.07080981420642438,0.07080981420642438
split_group_treatment,feature_importance,0.058878529349460994,0.058878529349460994
img_b_std,feature_importance,0.019943137190734612,0.019943137190734612
img_edge_to_center_rust_ratio,feature_importance,0.01719370203398403,0.01719370203398403
treatment_coarse,feature_importance,0.01613788442099345,0.01613788442099345
treatment_protocol,feature_importance,0.015867504345114792,0.015867504345114792
img_rust_center_of_mass_cm,feature_importance,0.014009523707981014,0.014009523707981014
img_rust_blob_largest_ratio_pct,feature_importance,0.013576671205657254,0.013576671205657254
img_lbp_mean,feature_importance,0.012297542331096019,0.012297542331096019
img_gray_hist_bin_2,feature_importance,0.011998219097792449,0.011998219097792449
img_strip_peak_location_cm,feature_importance,0.011714434633620312,0.011714434633620312
img_strip_high_count,feature_importance,0.01049649885220875,0.01049649885220875
img_glcm_energy,feature_importance,0.01046467369995456,0.01046467369995456
img_strip_rust_max_pct,feature_importance,0.01016599165187539,0.01016599165187539
img_gray_hist_bin_4,feature_importance,0.007618528958346898,0.007618528958346898
img_g_std,feature_importance,0.004368805674969313,0.004368805674969313
img_r_mean,feature_importance,0.003995765938885928,0.003995765938885928
img_rust_blob_mean_ratio_pct,feature_importance,0.0031867979963358358,0.0031867979963358358
img_rust_blob_eccentricity_mean,feature_importance,0.0031835517048351756,0.0031835517048351756
img_gray_mask_ratio_pct,feature_importance,0.002929388926377678,0.002929388926377678
img_glcm_contrast,feature_importance,0.0025375586992657496,0.0025375586992657496
img_gray_hist_bin_1,feature_importance,0.002208365959423146,0.002208365959423146
img_gray_hist_bin_3,feature_importance,0.0018631087839105585,0.0018631087839105585
img_gray_hist_bin_7,feature_importance,0.0013759479564330887,0.0013759479564330887
img_r_std,feature_importance,0.0013633624045366545,0.0013633624045366545
img_lbp_std,feature_importance,0.0012245830111033745,0.0012245830111033745
img_brightness_std,feature_importance,0.0011936344631041185,0.0011936344631041185
img_gray_hist_bin_5,feature_importance,0.0009933354221785542,0.0009933354221785542
img_gray_hist_bin_6,feature_importance,0.0005572009750175474,0.0005572009750175474
img_contrast,feature_importance,0.000543777458266566,0.000543777458266566
img_strip_rust_p90_pct,feature_importance,0.0005014539277664962,0.0005014539277664962
img_brightness_p10,feature_importance,0.0003082945341595112,0.0003082945341595112
img_brightness_mean,feature_importance,0.0002958766617791711,0.0002958766617791711
img_g_mean,feature_importance,0.0002717276669955184,0.0002717276669955184
img_strip_rust_std_pct,feature_importance,0.0002447760176571974,0.0002447760176571974
img_rust_blob_count,feature_importance,0.00023893332688075457,0.00023893332688075457
img_rust_area_ratio_pct,feature_importance,0.00022988607406306788,0.00022988607406306788
img_b_mean,feature_importance,0.00021658688585676428,0.00021658688585676428
img_gray_hist_bin_0,feature_importance,0.00019517090054951676,0.00019517090054951676
img_brightness_p90,feature_importance,0.0001383531643563768,0.0001383531643563768
img_strip_rust_mean_pct,feature_importance,0.00013521892058044105,0.00013521892058044105
week,feature_importance,0.00012778988529958674,0.00012778988529958674
img_black_mask_ratio_pct,feature_importance,0.00010616719891050776,0.00010616719891050776
ageing_days,feature_importance,8.822465566623919e-05,8.822465566623919e-05
img_rust_blob_eccentricity_max,feature_importance,5.041096530003429e-05,5.041096530003429e-05
nacl_pct,feature_importance,0.0,0.0
n_steel_mesh,feature_importance,0.0,0.0
img_strip_count,feature_importance,0.0,0.0
campaign_id,feature_importance,0.0,0.0
